operands_A,operands_B,sel,switching_power
3677125682,2484402714,1,0.0214458
3166460475,3098423014,1,0.0247301
115071901,2286909940,1,0.024222
3441457268,4149953308,1,0.0215996
2068784644,3230058795,1,0.0196856
3398733868,1999711883,1,0.0198394
1926155670,3872282464,1,0.0235959
3736583924,4125099589,1,0.0252024
3542437260,334686946,0,0.0182726
3743325245,3743108179,0,0.0214211
2012735522,1669133310,0,0.0234395
1260279569,1117840950,0,0.0157506
2976600350,1091567744,0,0.0105796
3372535561,368872016,0,0.0153739
4028975487,2784074547,1,0.0234779
3432477203,360683154,0,0.0187762
2681638636,480578244,0,0.017638
3810814951,1742307841,1,0.0215639
2833637166,112216584,0,0.0152429
4070368387,2741936557,0,0.0187762
3003535053,1057121200,1,0.0208197
2180148885,1687663105,1,0.0203117
2598835386,1061964781,0,0.0205408
1265323618,206488005,1,0.0203117
3869384747,2744595473,1,0.0189414
2026557028,3240346804,0,0.0162542
2939070903,3253264928,1,0.0223081
1543288897,928390269,0,0.0199103
2815339634,4116848529,0,0.0197834
822799970,1004257446,0,0.017769
2010250517,3360763184,0,0.017638
2614896958,1673199045,0,0.0216749
1158368582,3974204757,0,0.0172654
1760422990,4185616526,1,0.024612
1114599025,1775624341,1,0.0224618
666164363,400194268,1,0.0239859
3484211596,2354854343,1,0.0230879
115594958,1700293940,1,0.0219538
3612795243,157724285,0,0.020287
2692305682,4256809966,0,0.0204179
2515834580,1217275312,1,0.0204298
3109615946,3136418644,0,0.0205408
2126407553,342428085,1,0.02219
941890582,4122383552,0,0.0156277
236530759,2633593236,1,0.0204655
1312740389,2693650011,1,0.0218357
810302680,2431127954,0,0.0134823
1079804207,2083326751,0,0.0167618
3453273655,1839054555,0,0.0229359
1736620253,1287717884,0,0.0173883
2765531064,2723489796,0,0.0148662
2868294364,3480934355,0,0.0234395
4168447838,1649955263,1,0.0249662
2361707896,823789403,1,0.0201936
1227575112,3350821634,0,0.017769
945699566,462847766,0,0.0204139
2814002056,1542466874,0,0.0182726
346362120,580150221,1,0.016437
520445373,2643898076,1,0.024612
2670582057,3338961181,0,0.0166308
1170121065,450032079,1,0.0228518
3245425817,3067220215,0,0.0172654
2311290284,775639299,0,0.0173883
3399107797,3856172711,1,0.0217177
3472627612,2242267611,0,0.0196565
1784020104,1152141292,1,0.0213277
2705359882,4090198043,0,0.0160084
3834023039,3844676840,1,0.0219538
4175491954,2081442426,0,0.0178919
3858587181,3734677324,0,0.0219247
3543255919,2153662189,1,0.023206
1688147135,4083072560,0,0.0210444
3564179013,1406128384,0,0.0158775
2565868398,1930036337,0,0.0151201
2570158414,41437293,0,0.0141129
2927075877,966858756,1,0.0194138
3718643668,1129459334,0,0.0192757
133738103,3674987601,0,0.020287
3311095078,2639695698,1,0.0223438
3625235434,1151937919,1,0.0223438
2683882661,513227181,0,0.0209175
494969232,2217866788,0,0.0132326
1371758459,1881022875,1,0.022698
428294876,1952080499,1,0.0205836
158530,4226304878,1,0.018859
3671977213,257526237,0,0.0223014
1487239210,910554555,1,0.0221076
1508761766,1327767871,0,0.0180188
3392689167,4174086239,1,0.0210916
4242840639,573832496,1,0.0238321
1410354748,1901778076,1,0.0193314
2013574679,4202617074,0,0.020291
3113001586,3116581762,0,0.0163811
4016425499,2205419494,1,0.023206
27185074,3563653461,1,0.0208197
2151374077,3482296233,0,0.0218018
3067822777,2619536287,0,0.0204139
1798420268,3758470812,1,0.0214458
3670542327,276528154,1,0.0225799
245800380,2372674051,0,0.0161272
1046418127,1751293471,0,0.0196565
2503604352,1300389089,0,0.0158775
1001543080,712066805,0,0.0181457
1716134084,3433882435,0,0.0156277
2612344128,2885375199,1,0.0242577
3348839197,3366153641,0,0.0196565
4204643968,2170412955,0,0.0200372
2168731183,1321534753,1,0.0179254
4130806055,455460171,1,0.0225799
3376786233,3852814357,1,0.0208197
68944841,3382300077,0,0.0163851
586131334,3084125975,0,0.0192798
2385947600,2114381753,0,0.0200372
924826961,2456383077,0,0.0196565
